294.3256	 45.6904	  0.3683	 -0.4820	 -1.6989
374.1017	 53.6480	  0.3300	 -0.4769	 -1.7299
454.4299	 63.8487	  0.2904	 -0.4711	 -1.7602
534.1804	 73.0012	  0.2509	 -0.4658	 -1.7902
276.1137	101.4091	  0.3724	 -0.4318	 -1.6947
358.0948	110.9205	  0.3336	 -0.4270	 -1.7262
440.5320	121.1969	  0.2949	 -0.4215	 -1.7573
523.4288	130.4977	  0.2553	 -0.4160	 -1.7872
256.8277	160.8003	  0.3759	 -0.3823	 -1.6911
342.1119	171.7461	  0.3382	 -0.3764	 -1.7230
426.9519	181.0833	  0.2985	 -0.3720	 -1.7529
511.3089	190.9614	  0.2596	 -0.3664	 -1.7840
236.9217	225.0994	  0.3804	 -0.3323	 -1.6880
324.5972	235.6003	  0.3415	 -0.3274	 -1.7187
411.1643	246.6319	  0.3027	 -0.3219	 -1.7499
499.4893	257.4810	  0.2634	 -0.3166	 -1.7807
215.6395	292.7953	  0.3842	 -0.2832	 -1.6839
305.3478	304.9508	  0.3458	 -0.2778	 -1.7154
395.5942	315.4827	  0.3065	 -0.2723	 -1.7458
486.6540	327.1229	  0.2674	 -0.2669	 -1.7768
