254.5893	 69.4391	  0.3845	 -0.4586	 -1.6861
335.2641	 81.1290	  0.3463	 -0.4518	 -1.7168
415.6119	 93.0194	  0.3069	 -0.4441	 -1.7469
496.1724	104.1481	  0.2676	 -0.4371	 -1.7768
232.3044	127.2848	  0.3900	 -0.4087	 -1.6807
315.0125	139.3862	  0.3513	 -0.4020	 -1.7118
398.5394	150.9454	  0.3126	 -0.3948	 -1.7429
481.3856	163.4239	  0.2734	 -0.3875	 -1.7727
209.3596	188.5386	  0.3948	 -0.3594	 -1.6759
294.4765	202.0182	  0.3573	 -0.3517	 -1.7078
379.8132	213.4719	  0.3177	 -0.3454	 -1.7372
465.4808	226.3253	  0.2791	 -0.3381	 -1.7684
183.4547	254.1648	  0.4008	 -0.3097	 -1.6715
270.9050	267.6888	  0.3620	 -0.3029	 -1.7023
359.4764	281.0487	  0.3233	 -0.2957	 -1.7331
448.8245	293.8751	  0.2841	 -0.2885	 -1.7635
156.5801	323.7360	  0.4060	 -0.2607	 -1.6663
246.7578	338.1822	  0.3677	 -0.2535	 -1.6977
338.3277	352.3012	  0.3285	 -0.2463	 -1.7281
430.6435	365.6141	  0.2896	 -0.2390	 -1.7586
