115.8831	200.0999	  0.0052	 -0.1423	 -1.9793
144.1529	202.7297	  0.0452	 -0.1391	 -1.9491
171.0009	205.7946	  0.0851	 -0.1365	 -1.9193
197.8895	209.1224	  0.1240	 -0.1334	 -1.8887
122.3392	174.3119	  0.0014	 -0.0924	 -1.9794
148.9984	177.3217	  0.0412	 -0.0895	 -1.9502
175.5847	180.0915	  0.0806	 -0.0866	 -1.9185
202.4895	183.0004	  0.1200	 -0.0832	 -1.8878
127.8181	148.6915	 -0.0024	 -0.0427	 -1.9789
153.6137	151.8499	  0.0369	 -0.0398	 -1.9482
180.1261	155.2212	  0.0770	 -0.0361	 -1.9195
206.0691	157.5899	  0.1152	 -0.0336	 -1.8872
132.5211	125.3399	 -0.0071	  0.0072	 -1.9791
158.1180	128.1225	  0.0327	  0.0102	 -1.9486
184.1780	131.0242	  0.0722	  0.0132	 -1.9175
210.1760	133.7122	  0.1117	  0.0165	 -1.8876
137.3926	102.1160	 -0.0111	  0.0571	 -1.9777
162.9848	105.0104	  0.0285	  0.0600	 -1.9477
188.4206	107.7337	  0.0684	  0.0629	 -1.9172
213.5031	110.2655	  0.1072	  0.0658	 -1.8858
