184.0031	 32.0013	  0.0882	 -0.1120	 -1.9148
160.0239	 33.7249	  0.0494	 -0.1044	 -1.9452
135.6352	 35.6738	  0.0098	 -0.0967	 -1.9750
110.0692	 36.9474	 -0.0296	 -0.0892	 -2.0048
185.3967	 52.9009	  0.0842	 -0.1608	 -1.9221
161.0663	 54.9600	  0.0448	 -0.1537	 -1.9521
135.6287	 56.6649	  0.0054	 -0.1460	 -1.9822
110.9286	 58.7793	 -0.0341	 -0.1385	 -2.0119
186.6660	 74.5863	  0.0793	 -0.2105	 -1.9288
162.1285	 76.8926	  0.0412	 -0.2024	 -1.9598
136.5850	 78.3881	  0.0012	 -0.1957	 -1.9883
110.9784	 80.4824	 -0.0380	 -0.1881	 -2.0186
187.7111	 96.2150	  0.0756	 -0.2595	 -1.9351
162.9099	 98.9106	  0.0364	 -0.2525	 -1.9657
137.4876	101.0761	 -0.0027	 -0.2448	 -1.9959
111.6245	103.0315	 -0.0425	 -0.2372	 -2.0250
189.6556	119.0575	  0.0712	 -0.3093	 -1.9430
163.8844	121.5884	  0.0323	 -0.3020	 -1.9726
137.9678	124.1780	 -0.0072	 -0.2941	 -2.0019
111.3222	125.9661	 -0.0471	 -0.2868	 -2.0312
