315.3785	-474.6376	-1741.4363
277.0822	-468.5225	-1772.1346
237.7488	-461.6591	-1802.3306
198.2921	-455.4653	-1832.5096
320.2557	-424.6216	-1736.5420
281.4111	-418.6648	-1767.8035
242.7105	-412.1586	-1798.7426
203.5352	-405.7037	-1828.9729
324.4889	-375.2141	-1732.1416
286.8850	-368.3063	-1764.2159
247.2420	-362.7903	-1793.8268
208.5093	-356.3148	-1825.1016
329.8277	-325.3115	-1728.2600
291.0572	-319.3792	-1759.0952
252.1695	-312.9403	-1790.2692
213.0593	-306.5535	-1820.7372
334.4028	-276.3028	-1723.6337
296.0807	-269.8549	-1755.0496
256.9270	-263.3871	-1785.6732
217.8072	-256.9445	-1816.2300
