224.9759	-256.0102	-1812.6548
187.1404	-245.1013	-1842.5117
148.4601	-233.5458	-1872.2994
109.6009	-222.6238	-1901.9838
233.4003	-206.9605	-1804.8164
195.1900	-196.1848	-1835.3958
157.0894	-184.9630	-1866.1038
118.4375	-173.8185	-1895.6035
241.1620	-158.3124	-1797.2413
204.2325	-146.6973	-1828.7096
165.1173	-136.4012	-1857.3333
126.9848	-125.1399	-1888.0103
250.1797	-109.3493	-1790.2841
211.8521	-98.6267	-1820.3605
173.5811	-87.3678	-1850.7054
135.0344	-76.2293	-1880.6331
258.2594	-61.1563	-1782.2208
220.4882	-49.9789	-1813.1191
181.8223	-38.7110	-1842.8729
143.5029	-27.4902	-1872.7748
