120.8083	 -8.1286	-1881.6383
157.8964	  7.7901	-1852.0540
195.3981	 23.7265	-1822.6289
231.7526	 39.6395	-1792.0139
134.8421	-55.6082	-1874.1563
172.2020	-39.5819	-1844.6949
209.1876	-23.5510	-1814.6792
246.2437	 -7.3974	-1786.0375
149.3808	-102.7669	-1865.5670
186.2391	-86.9133	-1835.6008
223.8443	-70.4392	-1808.5044
259.6389	-54.9457	-1776.7136
163.0535	-150.1590	-1858.2072
200.5402	-134.3445	-1829.4226
237.3404	-118.2395	-1798.5236
274.1816	-101.9225	-1768.9403
176.6826	-197.5183	-1849.3773
214.2141	-181.2900	-1819.9044
251.5972	-165.6622	-1790.7317
288.2203	-149.6909	-1761.1188
