161.4571	-245.5824	-1867.4429
122.5434	-238.6040	-1896.8864
 82.7843	-231.1517	-1926.5690
 42.8278	-224.1538	-1955.6572
165.6483	-195.8581	-1860.6322
126.3039	-189.1810	-1891.0488
 87.0139	-181.8972	-1921.6417
 47.1463	-174.5680	-1949.7175
169.0970	-146.5962	-1853.7823
130.9094	-138.8874	-1884.8567
 90.7497	-132.5954	-1913.4114
 51.4444	-125.3784	-1943.5311
173.7447	-96.9143	-1847.6566
134.3096	-90.1252	-1877.3663
 94.8088	-82.8969	-1907.6775
 55.1229	-75.7632	-1937.3502
177.4661	-48.0507	-1840.4160
138.5848	-40.8532	-1871.0012
 98.8171	-33.5132	-1900.8359
 59.2570	-26.4007	-1930.5995
