226.2493	-350.1251	-1823.2151
188.1072	-337.8594	-1852.1680
149.1749	-325.0962	-1881.0602
109.9463	-312.7223	-1909.2601
234.7217	-301.4355	-1812.8988
196.1763	-289.3415	-1842.5739
157.7102	-276.6934	-1871.8868
118.5433	-264.1038	-1899.8436
242.4621	-253.2148	-1803.2484
205.1246	-240.1746	-1833.3485
165.6856	-228.6291	-1861.6742
127.1415	-216.0909	-1891.1819
251.4191	-204.6168	-1793.7295
212.6970	-192.5132	-1822.9220
174.1343	-179.9474	-1852.5155
135.2261	-167.5154	-1881.5121
259.5093	-156.8275	-1783.7782
221.3239	-144.3271	-1813.6018
182.3815	-131.6546	-1842.2462
143.5979	-119.1781	-1871.4921
